site_code,collection_date,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com
EM,2017-10-10,L. macrochirus,63.31733333333334,62.976,21.95678237508098,6,Centrarchidae,52.79110344827586,47.564,19.367608869200783,29,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,L. megalotis,48.46013333333333,41.36,19.842744675741475,15,Centrarchidae,52.79110344827586,47.564,19.367608869200783,29,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,N. texanus,42.18000000000001,42.18000000000001,1.5697770542341398,2,Leuciscidae,39.8969,40.425,6.9172290306999304,20,62.05661971830986,41.36,68.20905660066938,71
EM,2017-10-10,P. vigilax,39.097058823529416,38.85,7.08778594194432,17,Leuciscidae,39.8969,40.425,6.9172290306999304,20,62.05661971830986,41.36,68.20905660066938,71
EM,2017-11-03,A. natalis,102.71399999999998,102.71399999999998,NA,1,Ictaluridae,97.13192307692307,53.505,90.72640749846167,13,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,C. lutrensis,41.144000000000005,41.144000000000005,7.863027406794411,2,Leuciscidae,40.116846153846154,39.375,8.542580859165726,26,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,D. cepedianum,150.049,148.23900000000003,23.254097832425153,18,Clupeidae,150.049,148.23900000000003,23.254097832425153,18,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,E. gracile,35.75,36.5,2.6299556396765835,4,Pecidae,35.75,36.5,2.6299556396765835,4,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,G. affinis,30.275862068965516,30,9.08647563188649,29,Poeciliidae,30.275862068965516,30,9.08647563188649,29,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,I. punctatus,182.858,182.858,85.69002817131056,2,Ictaluridae,97.13192307692307,53.505,90.72640749846167,13,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,L. auritus,90.04566666666666,70.92399999999999,36.791938958599786,3,Centrarchidae,69.14659821428572,65.339,31.03154354264247,112,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,L. gulosus,72.42105263157895,70,20.27400028902284,19,Centrarchidae,69.14659821428572,65.339,31.03154354264247,112,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,L. macrochirus,77.55452631578947,66.56,46.68267405861791,19,Centrarchidae,69.14659821428572,65.339,31.03154354264247,112,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,L. megalotis,65.2454,60.489000000000004,27.84500284957345,70,Centrarchidae,69.14659821428572,65.339,31.03154354264247,112,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,L. miniatus,57.568,57.568,NA,1,Centrarchidae,69.14659821428572,65.339,31.03154354264247,112,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,L. oculatus,484,484,NA,1,Lepisosteidae,484,484,NA,1,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,N. gyrinus,50.994888888888894,48.749,10.044137661397873,9,Ictaluridae,97.13192307692307,53.505,90.72640749846167,13,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,P. olivaris,335.33099999999996,335.33099999999996,NA,1,Ictaluridae,97.13192307692307,53.505,90.72640749846167,13,70.22686699507389,53.768,54.001464727999284,203
EM,2017-11-03,P. vigilax,40.03125,39.375,8.748363977487946,24,Leuciscidae,40.116846153846154,39.375,8.542580859165726,26,70.22686699507389,53.768,54.001464727999284,203
EM,2017-12-02,A. sayanus,75,75,NA,1,Aphredoderidae,75,75,NA,1,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,D. cepedianum,174.38057142857144,166.15800000000002,28.5327918417689,7,Clupeidae,174.38057142857144,166.15800000000002,28.5327918417689,7,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,E. gracile,46.333333333333336,46,2.804757862395017,6,Pecidae,46.333333333333336,46,2.804757862395017,6,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,G. affinis,34.256410256410255,34,11.855973286242786,39,Poeciliidae,34.256410256410255,34,11.855973286242786,39,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,I. punctatus,140.66,140.66,NA,1,Ictaluridae,68.03083333333333,58.8555,39.576171423808375,6,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,L. cyanellus,65.4005,64.262,8.148911916849482,8,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,L. gulosus,64.46666666666667,65,17.47596989610373,15,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,L. humilis,62.34,62.34,NA,1,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,L. macrochirus,66.432,68.608,20.540922718644683,16,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,L. megalotis,51.56513043478261,51.7,24.35604174309332,23,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,M. salmoides,404.48,404.48,NA,1,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,N. gyrinus,53.505,49.938,19.373769006055586,5,Ictaluridae,68.03083333333333,58.8555,39.576171423808375,6,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,N. texanus,33.99375,30.525,8.799106996086104,8,Leuciscidae,44.195454545454545,45.300000000000004,11.418630026772552,22,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,P. annularis,80.13499999999999,80.13499999999999,10.967226176203356,2,Centrarchidae,66.15460606060606,60.36,47.07673221254482,66,58.886755102040816,49,44.710779113997894,147
EM,2017-12-02,P. vigilax,50.025000000000006,48.825,8.263677473414328,14,Leuciscidae,44.195454545454545,45.300000000000004,11.418630026772552,22,58.886755102040816,49,44.710779113997894,147
