site_code,collection_date,family,lowest_taxon,L_mu_com,L_mu_fam,L_mu_spe
EM,2020-11-05,Centrarchidae,P. annularis,100.11392405063292,63.11904761904762,279
GC,2017-10-03,Poeciliidae,G. affinis,54.27945454545455,30.75,30.75
GC,2017-10-03,Centrarchidae,L. auritus,54.27945454545455,63.491800000000005,59.6596
GC,2017-10-03,Centrarchidae,L. cyanellus,54.27945454545455,63.491800000000005,70.587
GC,2017-10-03,Centrarchidae,L. macrochirus,54.27945454545455,63.491800000000005,54.272
GC,2017-10-03,Leuciscidae,N. texanus,54.27945454545455,54.52875,54.52875
GC,2017-11-04,Pecidae,E. gracile,50.25119791666667,48,48
GC,2017-11-04,Fundulidae,F. chrysotus,50.25119791666667,40,40
GC,2017-11-04,Poeciliidae,G. affinis,50.25119791666667,31.772727272727273,31.772727272727273
GC,2017-11-04,Centrarchidae,L. auritus,50.25119791666667,57.57235483870968,95.956
GC,2017-11-04,Centrarchidae,L. gulosus,50.25119791666667,57.57235483870968,48.333333333333336
GC,2017-11-04,Centrarchidae,L. macrochirus,50.25119791666667,57.57235483870968,54.002526315789474
GC,2017-11-04,Centrarchidae,L. megalotis,50.25119791666667,57.57235483870968,57.169315789473686
GC,2017-11-04,Centrarchidae,M. salmoides,50.25119791666667,57.57235483870968,130.048
GC,2017-11-04,Ictaluridae,N. gyrinus,50.25119791666667,60.639,60.639
GC,2017-11-04,Leuciscidae,N. texanus,50.25119791666667,49.7475,55.13
GC,2017-11-04,Leuciscidae,P. vigilax,50.25119791666667,49.7475,33.6
GC,2017-12-03,Ictaluridae,A. natalis,54.97490721649485,167.6655,167.6655
GC,2017-12-03,Pecidae,E. gracile,54.97490721649485,48.666666666666664,48.666666666666664
GC,2017-12-03,Fundulidae,F. chrysotus,54.97490721649485,43.666666666666664,43.666666666666664
GC,2017-12-03,Poeciliidae,G. affinis,54.97490721649485,29.806451612903224,29.806451612903224
GC,2017-12-03,Centrarchidae,L. auritus,54.97490721649485,54.51721153846154,59.45099999999999
GC,2017-12-03,Centrarchidae,L. cyanellus,54.97490721649485,54.51721153846154,66.332
GC,2017-12-03,Centrarchidae,L. gulosus,54.97490721649485,54.51721153846154,41.333333333333336
GC,2017-12-03,Centrarchidae,L. macrochirus,54.97490721649485,54.51721153846154,52.6336
GC,2017-12-03,Centrarchidae,L. megalotis,54.97490721649485,54.51721153846154,48.120769230769234
GC,2017-12-03,Centrarchidae,L. microlophus,54.97490721649485,54.51721153846154,43.5
GC,2017-12-03,Centrarchidae,L. miniatus,54.97490721649485,54.51721153846154,88.40799999999999
GC,2017-12-03,Lepisosteidae,L. oculatus,54.97490721649485,373,373
GC,2017-12-03,Leuciscidae,N. texanus,54.97490721649485,53.835,53.835
GC,2018-02-11,Pecidae,E. gracile,68.96375757575758,50,50
GC,2018-02-11,Fundulidae,F. chrysotus,68.96375757575758,43.666666666666664,43.666666666666664
GC,2018-02-11,Poeciliidae,G. affinis,68.96375757575758,32.666666666666664,32.666666666666664
